HELIUM_000100422_612GNAAXX:7:103:13208:14623#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.99
HELIUM_000100422_612GNAAXX:7:103:15553:20111#0/1_sub[28..127],1,34878,Cervinae,subfamily,0.99
HELIUM_000100422_612GNAAXX:7:103:16107:14033#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.97
HELIUM_000100422_612GNAAXX:7:103:16686:18315#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.9801980198019802
HELIUM_000100422_612GNAAXX:7:103:17250:9137#0/1_sub[28..126],1,9992,Marmota,genus,0.9797979797979798
HELIUM_000100422_612GNAAXX:7:103:17280:14253#0/1_sub[28..126],1,9608,Canidae,family,0.9494949494949495
HELIUM_000100422_612GNAAXX:7:103:18019:3512#0/1_sub[28..126],1,9992,Marmota,genus,0.9797979797979798
HELIUM_000100422_612GNAAXX:7:103:18504:7144#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.98
HELIUM_000100422_612GNAAXX:7:103:18752:18526#0/1_sub[28..126],1,9992,Marmota,genus,0.9797979797979798
HELIUM_000100422_612GNAAXX:7:103:18927:2641#0/1_sub[28..126],1,9992,Marmota,genus,0.97
HELIUM_000100422_612GNAAXX:7:103:19337:7905#0/1_sub[28..127],1,34878,Cervinae,subfamily,0.99
HELIUM_000100422_612GNAAXX:7:103:8581:8621#0/1_sub[28..127],1,9850,Cervidae,family,0.97
HELIUM_000100422_612GNAAXX:7:104:10267:11548#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.97
HELIUM_000100422_612GNAAXX:7:104:10956:5411#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.9801980198019802
HELIUM_000100422_612GNAAXX:7:104:11389:20291#0/1_sub[28..126],1,9992,Marmota,genus,0.9696969696969697
HELIUM_000100422_612GNAAXX:7:104:13602:6826#0/1_sub[28..127],1,34878,Cervinae,subfamily,0.98
HELIUM_000100422_612GNAAXX:7:104:13669:16989#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.97
HELIUM_000100422_612GNAAXX:7:104:13696:19582#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.97
HELIUM_000100422_612GNAAXX:7:104:14388:18978#0/1_sub[28..126],1,9992,Marmota,genus,0.9696969696969697
HELIUM_000100422_612GNAAXX:7:104:15020:15985#0/1_sub[28..127],1,34878,Cervinae,subfamily,0.97
HELIUM_000100422_612GNAAXX:7:104:1543:9953#0/1_sub[28..126],1,9992,Marmota,genus,0.9797979797979798
HELIUM_000100422_612GNAAXX:7:104:16437:19197#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.99
HELIUM_000100422_612GNAAXX:7:104:18545:12154#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.98
HELIUM_000100422_612GNAAXX:7:104:18765:4925#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.98
HELIUM_000100422_612GNAAXX:7:104:18909:20273#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.99
HELIUM_000100422_612GNAAXX:7:104:18926:3406#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.99
HELIUM_000100422_612GNAAXX:7:104:19324:15970#0/1_sub[28..127],1,34878,Cervinae,subfamily,0.98
HELIUM_000100422_612GNAAXX:7:104:2620:2529#0/1_sub[28..126],1,9992,Marmota,genus,0.9797979797979798
HELIUM_000100422_612GNAAXX:7:104:2786:20074#0/1_sub[28..126],1,9615,Canis lupus familiaris,subspecies,0.9595959595959596
HELIUM_000100422_612GNAAXX:7:104:3963:1962#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.98
HELIUM_000100422_612GNAAXX:7:104:4460:12230#0/1_sub[28..127],1,9850,Cervidae,family,0.9405940594059405
HELIUM_000100422_612GNAAXX:7:104:6248:17349#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.98
HELIUM_000100422_612GNAAXX:7:104:7660:15259#0/1_sub[28..126],1,9992,Marmota,genus,0.9696969696969697
HELIUM_000100422_612GNAAXX:7:104:9510:11537#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.9702970297029703
HELIUM_000100422_612GNAAXX:7:105:11647:19924#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.99
HELIUM_000100422_612GNAAXX:7:105:12355:17255#0/1_sub[28..126],1,9992,Marmota,genus,0.9797979797979798
HELIUM_000100422_612GNAAXX:7:105:12699:12581#0/1_sub[28..126],1,9992,Marmota,genus,0.9797979797979798
HELIUM_000100422_612GNAAXX:7:105:13083:18679#0/1_sub[28..126],2,9608,Canidae,family,0.9393939393939394
HELIUM_000100422_612GNAAXX:7:105:13670:14357#0/1_sub[28..127],1,34878,Cervinae,subfamily,0.98
HELIUM_000100422_612GNAAXX:7:105:14135:6905#0/1_sub[28..127],3,9858,Capreolus capreolus,species,0.97
HELIUM_000100422_612GNAAXX:7:105:14379:16727#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.99
HELIUM_000100422_612GNAAXX:7:105:15011:8658#0/1_sub[28..126],1,9992,Marmota,genus,0.9797979797979798
HELIUM_000100422_612GNAAXX:7:105:15241:20692#0/1_sub[28..126],1,9992,Marmota,genus,0.9797979797979798
HELIUM_000100422_612GNAAXX:7:105:1538:2944#0/1_sub[28..126],1,9992,Marmota,genus,0.9797979797979798
HELIUM_000100422_612GNAAXX:7:105:1576:8786#0/1_sub[28..127],1,9881,Odocoileinae,subfamily,0.96
HELIUM_000100422_612GNAAXX:7:105:15986:20344#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.99
HELIUM_000100422_612GNAAXX:7:105:16656:4988#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.99
HELIUM_000100422_612GNAAXX:7:105:18163:20157#0/1_sub[28..127],1,9850,Cervidae,family,0.95
HELIUM_000100422_612GNAAXX:7:105:19634:10078#0/1_sub[28..125],1,9608,Canidae,family,0.9595959595959596
HELIUM_000100422_612GNAAXX:7:105:2796:13544#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.97
HELIUM_000100422_612GNAAXX:7:105:4873:16466#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.97
HELIUM_000100422_612GNAAXX:7:105:4948:20380#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.97
HELIUM_000100422_612GNAAXX:7:105:5498:15918#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.98
HELIUM_000100422_612GNAAXX:7:105:6734:12024#0/1_sub[28..126],1,9992,Marmota,genus,0.9696969696969697
HELIUM_000100422_612GNAAXX:7:105:7016:3356#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.97
HELIUM_000100422_612GNAAXX:7:105:8685:19100#0/1_sub[28..126],1,9992,Marmota,genus,0.9797979797979798
HELIUM_000100422_612GNAAXX:7:105:9895:19591#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.9801980198019802
HELIUM_000100422_612GNAAXX:7:106:11034:12809#0/1_sub[28..126],1,9992,Marmota,genus,0.9797979797979798
HELIUM_000100422_612GNAAXX:7:106:11047:20004#0/1_sub[28..126],1,9992,Marmota,genus,0.9797979797979798
HELIUM_000100422_612GNAAXX:7:106:11237:3501#0/1_sub[28..126],1,9611,Canis,genus,0.98989898989899
HELIUM_000100422_612GNAAXX:7:106:11977:20164#0/1_sub[28..127],1,34878,Cervinae,subfamily,0.99
HELIUM_000100422_612GNAAXX:7:106:13027:20337#0/1_sub[28..127],2,9858,Capreolus capreolus,species,0.9801980198019802
HELIUM_000100422_612GNAAXX:7:106:1419:16970#0/1_sub[28..126],1,9608,Canidae,family,0.9494949494949495
HELIUM_000100422_612GNAAXX:7:106:14716:15267#0/1_sub[28..126],1,9992,Marmota,genus,0.9696969696969697
HELIUM_000100422_612GNAAXX:7:106:14940:16992#0/1_sub[28..126],1,9992,Marmota,genus,0.9696969696969697
HELIUM_000100422_612GNAAXX:7:106:1609:11500#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.97
HELIUM_000100422_612GNAAXX:7:106:16327:8747#0/1_sub[28..127],1,9858,Capreolus capreolus,species,0.99
HELIUM_000100422_612GNAAXX:7:106:18971:18030#0/1_sub[28..126],1,9611,Canis,genus,0.9797979797979798
